obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
,169.97162,,1800000.0,E,223.157,59056.508,3s2.3p2,3P,2,3s2.3p.4d,3D*,1,E1,T5071,
,170.03382,,9.65,D,223.157,59034.988,3s2.3p2,3P,2,3s2.3p.(2P*<3/2>).4f,2[7/2],3,E2,T5785,
170.042,170.0419,50,31200000.0,D+,223.157,59032.19,3s2.3p2,3P,2,3s2.3p.4d,3D*,2,E1,T5071,L3521
170.063,170.0636,30,30600000.0,D+,0.0,58801.529,3s2.3p2,3P,0,3s2.3p.4d,1P*,1,E1,T5071,L3521
170.286,170.28693,30,18800000.0,D,77.115,58801.529,3s2.3p2,3P,1,3s2.3p.4d,1P*,1,E1,T5071,L3521
170.443,170.4442,50,26100000.0,D+,223.157,58893.4,3s2.3p2,3P,2,3s2.3p.4d,1F*,3,E1,T5071,L3521
,170.71147,,1210000.0,E,223.157,58801.529,3s2.3p2,3P,2,3s2.3p.4d,1P*,1,E1,T5071,
174.388,,30w,,,,,,,,,,,E1,,L3521
174.74,,50,,,,,,,,,,,E1,,L3521
175.311,,30w,,,,,,,,,,,E1,,L3521
176.366,,50,,,,,,,,,,,E1,,L3521
176.503,,40,,,,,,,,,,,E1,,L3521
176.56,,30w,,,,,,,,,,,E1,,L3521
176.606,,30,,,,,,,,,,,E1,,L3521
,176.9786,,26500000.0,D+,6298.85,62802.86,3s2.3p2,1D,2,3s2.3p.6d,1F*,3,E1,T5071,
177.063,,30,,,,,,,,,,,E1,,L3521
177.092,,100w,,,,,,,,,,,E1,,L3521
,177.22254,,239000.0,E,77.115,56503.346,3s2.3p2,3P,1,3s2.3p.4d,1D*,2,E1,T5071,
177.683,177.68242,100w,5830000.0,D,223.157,56503.346,3s2.3p2,3P,2,3s2.3p.4d,1D*,2,E1,T5071,L3521
178.323,,50w,,,,,,,,,,,E1,,L3521
179.912,,100w,,,,,,,,,,,E1,,L3521
180.909,180.91046,50w,68300000.0,C,6298.85,61574.814,3s2.3p2,1D,2,3s2.3p.5d,3D*,3,E1,T5071,L3521
,181.3269,,1040000.0,E,6298.85,61447.86,3s2.3p2,1D,2,3s2.3p.5d,3D*,2,E1,T5071,
181.407,181.4079,500w,115000000.0,C,6298.85,61423.23,3s2.3p2,1D,2,3s2.3p.5d,1F*,3,E1,T5071,L3521
182.245,,50,,,,,,,,,,,E1,,L3521
183.651,183.651,200,13100000.0,D+,77.115,54528.22,3s2.3p2,3P,1,3s2.3p.5s,3P*,2,E1,T5071,L3521
183.801,,30w,,,,,,,,,,,E1,,L3521
